Rank,Title,Year,Rating,Genre,Director,URL
152,Kill Bill: Vol 1,2003,8.2,"Kung Fu, Martial Arts, One-Person Army Action",Quentin Tarantino,https://www.imdb.com/title/tt0266697/?ref_=chttp_i_152
153,The Treasure of the Sierra Madre,1948,8.2,"Tragedy, Adventure, Drama",John Huston,https://www.imdb.com/title/tt0040897/?ref_=chttp_i_153
154,Prisoners,2013,8.2,"Psychological Thriller, Suspense Mystery, Crime",Denis Villeneuve,https://www.imdb.com/title/tt1392214/?ref_=chttp_i_154
155,Yojimbo,1961,8.2,"One-Person Army Action, Period Drama, Samurai",Akira Kurosawa,https://www.imdb.com/title/tt0055630/?ref_=chttp_i_155
156,Finding Nemo,2003,8.2,"Animal Adventure, Buddy Comedy, Computer Animation",Andrew Stanton,https://www.imdb.com/title/tt0266543/?ref_=chttp_i_156
157,The Great Escape,1963,8.2,"Period Drama, Prison Drama, War Epic",John Sturges,https://www.imdb.com/title/tt0057115/?ref_=chttp_i_157
158,Howl's Moving Castle,2004,8.2,"Adventure Epic, Anime, Hand-Drawn Animation",Hayao Miyazaki,https://www.imdb.com/title/tt0347149/?ref_=chttp_i_158
159,Monty Python and the Holy Grail,1975,8.2,"Farce, Parody, Quest",Terry Gilliam,https://www.imdb.com/title/tt0071853/?ref_=chttp_i_159
160,The Elephant Man,1980,8.2,"Docudrama, Period Drama, Tragedy",David Lynch,https://www.imdb.com/title/tt0080678/?ref_=chttp_i_160
161,Dial M for Murder,1954,8.2,"Crime, Drama, Mystery",Alfred Hitchcock,https://www.imdb.com/title/tt0046912/?ref_=chttp_i_161
162,Gone with the Wind,1939,8.2,"Costume Drama, Epic, Period Drama",Victor Fleming,https://www.imdb.com/title/tt0031381/?ref_=chttp_i_162
163,Klaus,2019,8.2,"Hand-Drawn Animation, Holiday Animation, Holiday Comedy",Sergio Pablos,https://www.imdb.com/title/tt4729430/?ref_=chttp_i_163
164,Rashomon,1950,8.2,"Period Drama, Crime, Drama",Akira Kurosawa,https://www.imdb.com/title/tt0042876/?ref_=chttp_i_164
165,Chinatown,1974,8.1,"Conspiracy Thriller, Hard-boiled Detective, Psychological Drama",Roman Polanski,https://www.imdb.com/title/tt0071315/?ref_=chttp_i_165
166,The Secret in Their Eyes,2009,8.2,"Dark Romance, Erotic Thriller, Legal Thriller",Juan José Campanella,https://www.imdb.com/title/tt1305806/?ref_=chttp_i_166
167,"Lock, Stock and Two Smoking Barrels",1998,8.1,"Dark Comedy, Farce, Gangster",Guy Ritchie,https://www.imdb.com/title/tt0120735/?ref_=chttp_i_167
168,V for Vendetta,2005,8.1,"Dystopian Sci-Fi, Political Thriller, Superhero",James McTeigue,https://www.imdb.com/title/tt0434409/?ref_=chttp_i_168
169,Inside Out,2015,8.1,"Coming-of-Age, Computer Animation, Adventure",Pete Docter,https://www.imdb.com/title/tt2096673/?ref_=chttp_i_169
170,"Three Billboards Outside Ebbing, Missouri",2017,8.1,"Dark Comedy, Satire, Comedy",Martin McDonagh,https://www.imdb.com/title/tt5027774/?ref_=chttp_i_170
171,The Bridge on the River Kwai,1957,8.1,"Jungle Adventure, War Epic, Adventure",David Lean,https://www.imdb.com/title/tt0050212/?ref_=chttp_i_171
172,Trainspotting,1996,8.1,"Dark Comedy, Psychological Drama, Drama",Danny Boyle,https://www.imdb.com/title/tt0117951/?ref_=chttp_i_172
173,Catch Me If You Can,2002,8.1,"Caper, Coming-of-Age, Docudrama",Steven Spielberg,https://www.imdb.com/title/tt0264464/?ref_=chttp_i_173
174,The Wild Robot,2024,8.2,"Artificial Intelligence, Computer Animation, Survival",Chris Sanders,https://www.imdb.com/title/tt29623480/?ref_=chttp_i_174
175,Raging Bull,1980,8.1,"Boxing, Docudrama, Period Drama",Martin Scorsese,https://www.imdb.com/title/tt0081398/?ref_=chttp_i_175
176,Fargo,1996,8.1,"Cop Drama, Dark Comedy, Police Procedural",Joel Coen,https://www.imdb.com/title/tt0116282/?ref_=chttp_i_176
177,Warrior,2011,8.1,"Boxing, Action, Drama",Gavin O'Connor,https://www.imdb.com/title/tt1291584/?ref_=chttp_i_177
